Drug	Gene
D00607	ADRA1A
D08624	ADRA1A
D01347	ADRA1A
D00308	ADRA1A
D04531	ADRA1A
D04532	ADRA1A
D01485	ADRA1A
D06380	ADRA1A
D01171	ADRA1A
D05395	ADRA1A
D02568	ADRA1A
D08614	ADRA1A
D00997	ADRA1A
D08253	ADRA1A
D01021	ADRA1A
D00743	ADRA1A
D08201	ADRA1A
D01020	ADRA1A
D08064	ADRA1A
D01445	ADRA1A
D09842	ADRA1A
D02109	ADRA1A
D02349	ADRA1A
D01017	ADRA1A
D08115	ADRA1A
D01025	ADRA1A
D01444	ADRA1A
D07465	ADRA1A
D01830	ADRA1A
D08212	ADRA1A
D06234	ADRA1A
D07834	ADRA1A
D07833	ADRA1A
D05228	ADRA1A
D01691	ADRA1A
D05637	ADRA1A
D08444	ADRA1A
D07097	ADRA1A
D08106	ADRA1A
D00600	ADRA1A
D08358	ADRA1A
D00507	ADRA1A
D08207	ADRA1A
D00680	ADRA1A
D07451	ADRA1A
D01469	ADRA1A
D06394	ADRA1A
D08322	ADRA1A
D01022	ADRA1A
D03887	ADRA1A
D08239	ADRA1A
D01571	ADRA1A
D08684	ADRA1A
D00757	ADRA1A
D01369	ADRA1A
D08362	ADRA1A
D00509	ADRA1A
D07775	ADRA1A
D03648	ADRA1A
D00454	ADRA1A
D06623	ADRA1A
D08257	ADRA1A
D00819	ADRA1A
D07550	ADRA1A
D01887	ADRA1A
D02537	ADRA1A
D03914	ADRA1A
D02910	ADRA1A
D00636	ADRA1A
D07931	ADRA1A
D01573	ADRA1A
D08560	ADRA1A
D01024	ADRA1A
D07124	ADRA1A
D01692	ADRA1A
D01333	ADRA1A
D08662	ADRA1A
D01290	ADRA1A
D08271	ADRA1A
D00095	ADRA1A
D02149	ADRA1A
D00996	ADRA1A
D08365	ADRA1A
D08966	ADRA1A
D00511	ADRA1A
D08366	ADRA1A
D02774	ADRA1A
D07560	ADRA1A
D05688	ADRA1A
D05689	ADRA1A
D02901	ADRA1A
D08411	ADRA1A
D00609	ADRA1A
D08569	ADRA1A
D11585	ADRA1A
D00610	ADRA1A
D07874	ADRA1A
D00608	ADRA1A
D08220	ADRA1A
D01307	ADRA1A
D01674	ADRA1A
D00255	ADRA1A
D03415	ADRA1A
D04184	ADRA1A
D09784	ADRA1A
D04026	ADRA1D
D07906	ADRA1D
D00679	ADRA1D
D08192	ADRA1D
D01019	ADRA1D
D08368	ADRA1D
D08206	ADRA1D
D01952	ADRA1D
D01224	ADRA1D
D00124	ADRA1D
D04018	ADRA1D
D01386	ADRA1D
D08449	ADRA1D
D05649	ADRA1D
D00485	ADRA1D
D07905	ADRA1D
D01163	ADRA1D
D08982	ADRA1D
D01277	ADRA1D
D00076	ADRA1D
D05206	ADRA1D
D08284	ADRA1D
D09794	ADRA1D
D08286	ADRA1D
D01405	ADRA1D
D08578	ADRA1D
D00756	ADRA1D
D01023	ADRA1D
D08029	ADRA1D
D00607	ADRA1D
D08624	ADRA1D
D01347	ADRA1D
D00308	ADRA1D
D04531	ADRA1D
D04532	ADRA1D
D01485	ADRA1D
D06380	ADRA1D
D01171	ADRA1D
D05395	ADRA1D
D02568	ADRA1D
D08614	ADRA1D
D00997	ADRA1D
D08253	ADRA1D
D01021	ADRA1D
D00743	ADRA1D
D08201	ADRA1D
D01020	ADRA1D
D08064	ADRA1D
D01445	ADRA1D
D09842	ADRA1D
D02109	ADRA1D
D02349	ADRA1D
D01017	ADRA1D
D08115	ADRA1D
D01025	ADRA1D
D01444	ADRA1D
D07465	ADRA1D
D01830	ADRA1D
D08212	ADRA1D
D06234	ADRA1D
D07834	ADRA1D
D07833	ADRA1D
D05228	ADRA1D
D01691	ADRA1D
D05637	ADRA1D
D08444	ADRA1D
D08106	ADRA1D
D00600	ADRA1D
D08358	ADRA1D
D00507	ADRA1D
D08207	ADRA1D
D00680	ADRA1D
D07451	ADRA1D
D01469	ADRA1D
D03887	ADRA1D
D08239	ADRA1D
D01571	ADRA1D
D08684	ADRA1D
D00757	ADRA1D
D01369	ADRA1D
D08362	ADRA1D
D00509	ADRA1D
D07775	ADRA1D
D03648	ADRA1D
D00454	ADRA1D
D06623	ADRA1D
D08257	ADRA1D
D00819	ADRA1D
D07550	ADRA1D
D01887	ADRA1D
D02537	ADRA1D
D03914	ADRA1D
D02910	ADRA1D
D00636	ADRA1D
D07931	ADRA1D
D01573	ADRA1D
D08560	ADRA1D
D01024	ADRA1D
D01333	ADRA1D
D08662	ADRA1D
D01290	ADRA1D
D08271	ADRA1D
D00095	ADRA1D
D02149	ADRA1D
D00996	ADRA1D
D08365	ADRA1D
D08966	ADRA1D
D00511	ADRA1D
D08366	ADRA1D
D02774	ADRA1D
D07560	ADRA1D
D05688	ADRA1D
D05689	ADRA1D
D02901	ADRA1D
D08411	ADRA1D
D00609	ADRA1D
D08569	ADRA1D
D11585	ADRA1D
D00610	ADRA1D
D07874	ADRA1D
D00608	ADRA1D
D08220	ADRA1D
D01307	ADRA1D
D01674	ADRA1D
D00255	ADRA1D
D03415	ADRA1D
D04026	ADRA2A
D02388	ADRA2A
D08192	ADRA2A
D01019	ADRA2A
D08368	ADRA2A
D08206	ADRA2A
D01952	ADRA2A
D01224	ADRA2A
D00124	ADRA2A
D04018	ADRA2A
D01386	ADRA2A
D08449	ADRA2A
D05649	ADRA2A
D00485	ADRA2A
D07905	ADRA2A
D01163	ADRA2A
D08205	ADRA2A
D00405	ADRA2A
D08982	ADRA2A
D01603	ADRA2A
D04223	ADRA2A
D04375	ADRA2A
D08031	ADRA2A
D00606	ADRA2A
D01277	ADRA2A
D00076	ADRA2A
D05206	ADRA2A
D08284	ADRA2A
D09794	ADRA2A
D02569	ADRA2A
D05119	ADRA2A
D08482	ADRA2A
D04124	ADRA2A
D08029	ADRA2A
D00607	ADRA2A
D08624	ADRA2A
D01347	ADRA2A
D00560	ADRA2A
D08614	ADRA2A
D00997	ADRA2A
D07461	ADRA2A
D01008	ADRA2A
D08487	ADRA2A
D00281	ADRA2A
D00604	ADRA2A
D08611	ADRA2A
D00776	ADRA2A
D07540	ADRA2A
D02076	ADRA2A
D00605	ADRA2A
D09842	ADRA2A
D02109	ADRA2A
D02349	ADRA2A
